 165,439 0
 165,12 3
 165,101 4
 163,839 5
 163,532 6
 163,502 7
 162,607 10
 162,6 12
 161,895 13
 161,472 14
 158,99 15
 158,855 16
 158,555 16
 156,844 17
 149,396 18
 149,39 19
 148,164 19
 146,509 20
 145,099 21
 144,927 21
 144,284 22
 144,155 22
 144,069 23
 144,045 23
 140,741 24
 140,698 24
 140,44 25
 137,24 26
 135,297 26
 133,789 27
 132,643 28
 129,804 29
 129,712 30
 128,088 30
 127,175 31
 124,251 31
 123,687 32
 122,969 32
 122,786 33
 121,958 33
 121,682 33
 120,56 34
 120,456 34
 118,666 35
 118,39 35
 117,606 36
 117,495 37
 117,36 38
 114,633 39
 114,418 39
 113,989 40
 113,983 41
 113,903 41
 113,578 41
 113,406 42
 113,302 42
 112,947 44
 112,579 45
 112,119 45
 111,604 45
 111,322 46
 111,077 46
 111,053 47
 106,345 47
 103,586 48
 101,441 48
 100,27 49
 99,7 50
 98,835 50
 98,204 51
 83,345 52
 82,971 52
 82,805 52
 81,916 53
 81,886 53
 80,322 54
 80,261 54
 79,464 54
 79,427 55
 78,949 55
 78,434 56
 76,89 56
 75,737 57
 74,995 57
 73,322 57
 71,648 58
 70,766 58
 69,57 59
 67,854 59
 67,173 59
 65,457 60
 65,212 60
 65,01 60
 58,266 61
 56,544 61
 55,226 61
 54,423 62
 54,319 62
 54,147 62
 54,104 63
 53,939 63
 53,387 63
 52,903 64
 52,308 64
 50,984 65
 48,63 65
 48,612 66
 46,92 67
 46,184 67
 45,203 67
 41,917 68
 41,114 68
 40,943 69
 40,9 69
 40,863 70
 40,808 70
 40,367 70
 40,293 71
 40,281 71
 39,766 71
 35,205 72
 23,723 72
 23,399 73
 23,215 73
 22,228 73
 21,639 74
 21,48 74
 21,449 74
 20,91 75
 20,327 75
 17,544 75
 17,465 76
 16,668 76
 16,6 76
 15,129 76
 15,019 77
 14,78 77
 14,7 77
 14,62 78
 14,596 78
 12,861 79
 12,8 79
 12,738 79
 12,285 80
 10,838 80
 10,74 81
 10,44 81
 10,39 81
 10,243 83
 10,194 83
 9,569 85
 9,348 86
 8,496 92
 8,386 92
 7,546 93
 7,154 94
 6,964 96
 6,921 96
 6,761 96
 6,645 97
 6,302 97
 5,634 98
 5,413 98
 4,683 99
 3,948 99
 3,801 99
 3,39 101
 3,365 106
 3,2 110
 2,924 112
 2,44 116
 2,421 119
 2,385 126
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
