 103,741 0
 103,436 3
 103,349 4
 103,088 5
 102,927 6
 102,898 10
 102,53 11
 102,456 12
 102,368 13
 102,326 14
 102,037 15
 101,876 16
 101,361 17
 101,298 18
 100,892 18
 100,465 19
 100,462 20
 100,381 20
 100,093 21
 99,942 22
 99,427 22
 99,02 23
 98,883 23
 98,88 24
 98,636 24
 98,558 25
 98,547 25
 98,407 26
 98,039 27
 97,639 27
 97,298 28
 97,149 28
 97,146 29
 97,02 30
 97,017 30
 96,853 31
 94,269 32
 94,233 32
 94,191 33
 93,391 33
 93,176 34
 93,023 34
 92,868 35
 92,474 35
 92,378 36
 92,244 36
 92,171 37
 90,953 38
 90,791 38
 90,779 39
 90,522 39
 88,742 40
 86,34 41
 86,296 41
 86,287 42
 86,259 43
 86,257 43
 86,136 44
 86,133 44
 85,963 45
 85,921 45
 85,888 46
 85,737 46
 85,581 47
 85,385 47
 85,295 48
 85,144 48
 85,062 48
 84,395 49
 84,138 50
 83,994 50
 83,991 50
 83,865 51
 83,847 52
 80,887 52
 80,579 53
 80,259 53
 79,903 54
 79,798 54
 79,589 54
 79,494 56
 79,186 57
 78,793 58
 78,248 59
 77,659 59
 77,647 60
 77,626 60
 77,526 61
 77,514 61
 77,43 62
 77,28 62
 77,185 62
 77,08 63
 76,99 63
 76,966 64
 76,88 64
 76,806 64
 76,746 65
 76,739 65
 76,489 66
 76,218 66
 75,841 66
 75,429 67
 75,307 67
 74,766 68
 74,468 68
 74,335 68
 73,915 69
 73,825 69
 73,815 69
 73,794 70
 73,12 70
 72,932 70
 72,749 70
 72,625 71
 72,577 71
 72,45 71
 72,422 72
 69,984 72
 69,832 72
 69,756 73
 69,592 73
 69,536 73
 69,467 73
 69,252 74
 69,225 74
 69,206 74
 69,152 75
 68,889 75
 68,823 78
 64,815 79
 64,764 79
 64,565 79
 64,314 80
 63,933 80
 63,865 80
 63,717 80
 63,705 81
 63,538 81
 63,36 82
 63,354 82
 61,584 82
 60,531 82
 60,501 83
 60,203 83
 59,635 83
 58,971 84
 58,31 84
 58,22 84
 57,559 85
 57,255 85
 56,865 85
 56,482 85
 56,224 86
 56,055 87
 55,81 87
 55,565 88
 49,934 89
 49,91 90
 49,583 90
 49,382 90
 49,095 91
 48,462 91
 48,393 91
 48,274 92
 48,241 92
 48,172 92
 47,847 93
 47,779 93
 47,589 93
 47,526 94
 47,322 94
 47,167 94
 47,035 95
 46,73 95
 46,676 95
 46,618 96
 46,416 96
 46,045 96
 46,012 97
 45,125 97
 45,001 97
 44,823 98
 44,645 98
 42,959 99
 42,791 99
 42,775 99
 42,739 99
 42,731 100
 42,724 100
 36,362 100
 36,182 101
 36,058 101
 36,046 101
 36,045 101
 36,039 102
 35,946 102
 35,82 102
 35,672 103
 35,545 103
 35,363 103
 35,18 103
 34,998 104
 34,996 104
 34,929 104
 34,556 105
 31,984 105
 31,916 105
 31,864 106
 31,771 106
 31,678 106
 31,586 107
 31,312 107
 31,198 107
 30,984 107
 30,842 108
 30,769 108
 30,717 108
 29,967 109
 29,791 109
 29,659 109
 27,729 110
 27,394 110
 27,391 110
 27,292 111
 26,957 111
 26,046 111
 26,037 111
 26,01 112
 25,167 112
 24,748 112
 24,308 113
 23,868 113
 23,801 113
 23,532 114
 23,441 114
 23,43 114
 23,266 115
 22,859 115
 22,553 115
 22,35 115
 22,278 116
 22,208 116
 22,127 117
 22,118 117
 21,506 118
 21,249 118
 21,114 118
 21,031 118
 19,191 119
 19,055 119
 19,011 119
 18,987 119
 18,972 120
 18,953 120
 18,933 121
 18,914 121
 17,031 122
 16,823 122
 16,55 123
 16,459 123
 16,441 123
 13,832 124
 13,794 124
 13,72 124
 13,636 124
 13,601 125
 13,463 125
 13,426 125
 13,336 125
 13,289 125
 13,047 126
 12,028 126
 11,077 126
 11,05 129
 10,803 129
 10,714 129
 10,235 129
 10,127 130
 9,952 130
 9,916 130
 9,9 130
 9,897 131
 9,753 131
 9,628 131
 9,444 131
 9,426 132
 9,339 132
 8,546 132
 8,468 133
 8,419 133
 8,374 133
 8,308 133
 8,242 133
 8,205 134
 8,185 134
 8,163 134
 8,159 134
 8,069 135
 7,921 135
 7,826 135
 7,737 136
 7,714 136
 7,352 136
 7,298 137
 6,823 137
 6,362 138
 6,245 138
 6,111 138
 6,001 138
 5,939 139
 5,936 139
 5,934 139
 5,919 140
 5,909 141
 5,662 141
 5,651 141
 5,523 142
 5,391 142
 5,366 142
 5,272 143
 5,249 143
 5,15 143
 5,123 144
 5,032 144
 5,026 145
 4,512 146
 4,437 146
 4,407 146
 4,383 146
 4,317 147
 4,262 147
 4,199 149
 4,024 149
 4,001 149
 3,934 149
 3,87 150
 3,529 155
 3,439 156
 3,272 159
 3,224 160
 3,189 160
 3,165 161
 3,099 163
 3,064 169
 2,981 175
 2,772 180
 2,754 180
 2,682 185
 2,646 191
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
 null 0
